sample_delay_us,ch1_V
5.504000,1.4739709
5.506000,1.4548752
5.508000,1.4739709
5.510000,1.4739709
5.512000,1.4739709
5.514000,1.4739709
5.516000,1.4739709
5.518000,1.4739709
5.520000,1.4739709
5.522000,1.4739709
5.524000,1.4739709
5.526000,1.4739709
5.528000,1.4739709
5.530000,1.4739709
5.532000,1.4739709
5.534000,1.4739709
5.536000,1.4739709
5.538000,1.4739709
5.540000,1.4739709
5.542000,1.4739709
5.544000,1.4739709
5.546000,1.4739709
5.548000,1.4739709
5.550000,1.4739709
5.552000,1.4739709
5.554000,1.4739709
5.556000,1.4739709
5.558000,1.4739709
5.560000,1.4739709
5.562000,1.4739709
5.564000,1.4739709
5.566000,1.4739709
5.568000,1.4739709
5.570000,1.4739709
5.572000,1.4739709
5.574000,1.4739709
5.576000,1.4739709
5.578000,1.4739709
5.580000,1.4739709
5.582000,1.4739709
5.584000,1.4739709
5.586000,1.4739709
5.588000,1.4739709
5.590000,1.4739709
5.592000,1.4739709
5.594000,1.4739709
5.596000,1.4739709
5.598000,1.4739709
5.600000,1.4739709
5.602000,1.4739709
5.604000,1.4739709
5.606000,1.4739709
5.608000,1.4739709
5.610000,1.4739709
5.612000,1.4739709
5.614000,1.4739709
5.616000,1.4739709
5.618000,1.4739709
5.620000,1.4739709
5.622000,1.4739709
5.624000,1.4739709
5.626000,1.4739709
5.628000,1.4739709
5.630000,1.4739709
5.632000,1.4739709
5.634000,1.4739709
5.636000,1.4739709
5.638000,1.4739709
5.640000,1.4739709
5.642000,1.4739709
5.644000,1.4739709
5.646000,1.4739709
5.648000,1.4739709
5.650000,1.4739709
5.652000,1.4739709
5.654000,1.4739709
5.656000,1.4739709
5.658000,1.4739709
5.660000,1.4739709
5.662000,1.4739709
5.664000,1.4739709
5.666000,1.4739709
5.668000,1.4739709
5.670000,1.4739709
5.672000,1.4739709
5.674000,1.4739709
5.676000,1.4739709
5.678000,1.4739709
5.680000,1.4739709
5.682000,1.4739709
5.684000,1.4739709
5.686000,1.4739709
5.688000,1.4739709
5.690000,1.4739709
5.692000,1.4739709
5.694000,1.4739709
5.696000,1.4739709
5.698000,1.4739709
5.700000,1.4739709
5.702000,1.4739709
5.704000,1.4739709
5.706000,1.4739709
5.708000,1.4739709
5.710000,1.4739709
5.712000,1.4739709
5.714000,1.4739709
5.716000,1.4739709
5.718000,1.4739709
5.720000,1.4739709
5.722000,1.4739709
5.724000,1.4739709
5.726000,1.4739709
5.728000,1.4739709
5.730000,1.4739709
5.732000,1.4739709
5.734000,1.4739709
5.736000,1.4739709
5.738000,1.4739709
5.740000,1.4739709
5.742000,1.4739709
