sample_delay_us,ch1_V
-24.496000,-0.1991449
-24.488000,-0.1991449
-24.480000,-0.1991449
-24.472000,-0.1990916
-24.464000,-0.1990916
-24.456000,-0.1990916
-24.448000,-0.1990382
-24.440000,-0.1990382
-24.432000,-0.1989849
-24.424000,-0.1990382
-24.416000,-0.1990916
-24.408000,-0.1991982
-24.400000,-0.1991449
-24.392000,-0.1991449
-24.384000,-0.1990382
-24.376000,-0.1989849
-24.368000,-0.1990382
-24.360000,-0.1990382
-24.352000,-0.1990382
-24.344000,-0.1989849
-24.336000,-0.1989849
-24.328000,-0.1990916
-24.320000,-0.1990916
-24.312000,-0.1990916
-24.304000,-0.1990916
-24.296000,-0.1990916
-24.288000,-0.1990916
-24.280000,-0.1991449
-24.272000,-0.1990916
-24.264000,-0.1990382
-24.256000,-0.1990382
-24.248000,-0.1989315
-24.240000,-0.1990382
-24.232000,-0.1990916
-24.224000,-0.1990382
-24.216000,-0.1989849
-24.208000,-0.1989849
-24.200000,-0.1989849
-24.192000,-0.1989849
-24.184000,-0.1989849
-24.176000,-0.1990382
-24.168000,-0.1990382
-24.160000,-0.1989315
-24.152000,-0.1989849
-24.144000,-0.1989849
-24.136000,-0.1990382
-24.128000,-0.1989315
-24.120000,-0.1989849
-24.112000,-0.1990382
-24.104000,-0.1989849
-24.096000,-0.1989315
-24.088000,-0.1989315
-24.080000,-0.1990382
-24.072000,-0.1990916
-24.064000,-0.1990916
-24.056000,-0.1990382
-24.048000,-0.1989849
-24.040000,-0.1989315
-24.032000,-0.1988782
-24.024000,-0.1989315
-24.016000,-0.1989315
-24.008000,-0.1989849
-24.000000,-0.1989849
-23.992000,-0.1988782
-23.984000,-0.1989315
-23.976000,-0.1989849
-23.968000,-0.1989315
-23.960000,-0.1988782
-23.952000,-0.1989315
-23.944000,-0.1989315
-23.936000,-0.1989315
-23.928000,-0.1988782
-23.920000,-0.1988248
-23.912000,-0.1988782
-23.904000,-0.1988782
-23.896000,-0.1988782
-23.888000,-0.1988782
-23.880000,-0.1988248
-23.872000,-0.1988248
-23.864000,-0.1988248
-23.856000,-0.1988782
-23.848000,-0.1988782
-23.840000,-0.1988782
-23.832000,-0.1989315
-23.824000,-0.1988782
-23.816000,-0.1988782
-23.808000,-0.1989315
-23.800000,-0.1988782
-23.792000,-0.1988782
-23.784000,-0.1988248
-23.776000,-0.1987715
-23.768000,-0.1987715
-23.760000,-0.1987715
-23.752000,-0.1987715
-23.744000,-0.1988782
-23.736000,-0.1988248
-23.728000,-0.1988782
-23.720000,-0.1988782
-23.712000,-0.1988782
-23.704000,-0.1988782
-23.696000,-0.1988782
-23.688000,-0.1988782
-23.680000,-0.1988248
-23.672000,-0.1987715
-23.664000,-0.1988248
-23.656000,-0.1988248
